Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,SIC22,Sentiment d'Intelligences Collectives,,,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"behaviour,proficiency,competency,competency"
,SIC22-B1,B1,,,,,,,,,,,
,SIC22-B2,B2,,,,,,,,,,,
,SIC22-B3,B3,,,,,,,,,,,
,SIC22-B4,B4,,,,,,,,,,,
,SIC22-B5,B5,,,,,,,,,,,
,SIC22-B6,B6,,,,,,,,,,,
,SIC22-B7,B7,,,,,,,,,,,
,SIC22-B8,B8,,,,,,,,,,,
,SIC22-B9,B9,,,,,,,,,,,
,SIC22-B10,B10,,,,,,,,,,,
,SIC22-B11,B11,,,,,,,,,,,
,SIC22-B12,B12,,,,,,,,,,,
SIC22-B1,SIC22-B1-P1,P1,,,,,,,,,,,
SIC22-B1,SIC22-B1-P2,P2,,,,,,,,,,,
SIC22-B1,SIC22-B1-P3,P3,,,,,,,,,,,
SIC22-B1,SIC22-B1-P4,P4,,,,,,,,,,,
SIC22-B2,SIC22-B2-P1,P1,,,,,,,,,,,
SIC22-B2,SIC22-B2-P2,P2,,,,,,,,,,,
SIC22-B2,SIC22-B2-P3,P3,,,,,,,,,,,
SIC22-B2,SIC22-B2-P4,P4,,,,,,,,,,,
SIC22-B3,SIC22-B3-P1,P1,,,,,,,,,,,
SIC22-B3,SIC22-B3-P2,P2,,,,,,,,,,,
SIC22-B3,SIC22-B3-P3,P3,,,,,,,,,,,
SIC22-B3,SIC22-B3-P4,P4,,,,,,,,,,,
SIC22-B4,SIC22-B4-P1,P1,,,,,,,,,,,
SIC22-B4,SIC22-B4-P2,P2,,,,,,,,,,,
SIC22-B4,SIC22-B4-P3,P3,,,,,,,,,,,
SIC22-B4,SIC22-B4-P4,P4,,,,,,,,,,,
SIC22-B5,SIC22-B5-P1,P1,,,,,,,,,,,
SIC22-B5,SIC22-B5-P2,P2,,,,,,,,,,,
SIC22-B5,SIC22-B5-P3,P3,,,,,,,,,,,
SIC22-B5,SIC22-B5-P4,P4,,,,,,,,,,,
SIC22-B6,SIC22-B6-P1,P1,,,,,,,,,,,
SIC22-B6,SIC22-B6-P2,P2,,,,,,,,,,,
SIC22-B6,SIC22-B6-P3,P3,,,,,,,,,,,
SIC22-B6,SIC22-B6-P4,P4,,,,,,,,,,,
SIC22-B7,SIC22-B7-P1,P1,,,,,,,,,,,
SIC22-B7,SIC22-B7-P2,P2,,,,,,,,,,,
SIC22-B7,SIC22-B7-P3,P3,,,,,,,,,,,
SIC22-B7,SIC22-B7-P4,P4,,,,,,,,,,,
SIC22-B8,SIC22-B8-P1,P1,,,,,,,,,,,
SIC22-B8,SIC22-B8-P2,P2,,,,,,,,,,,
SIC22-B8,SIC22-B8-P3,P3,,,,,,,,,,,
SIC22-B8,SIC22-B8-P4,P4,,,,,,,,,,,
SIC22-B9,SIC22-B9-P1,P1,,,,,,,,,,,
SIC22-B9,SIC22-B9-P2,P2,,,,,,,,,,,
SIC22-B9,SIC22-B9-P3,P3,,,,,,,,,,,
SIC22-B9,SIC22-B9-P4,P4,,,,,,,,,,,
SIC22-B10,SIC22-B10-P1,P1,,,,,,,,,,,
SIC22-B10,SIC22-B10-P2,P2,,,,,,,,,,,
SIC22-B10,SIC22-B10-P3,P3,,,,,,,,,,,
SIC22-B10,SIC22-B10-P4,P4,,,,,,,,,,,
SIC22-B11,SIC22-B11-P1,P1,,,,,,,,,,,
SIC22-B11,SIC22-B11-P2,P2,,,,,,,,,,,
SIC22-B11,SIC22-B11-P3,P3,,,,,,,,,,,
SIC22-B11,SIC22-B11-P4,P4,,,,,,,,,,,
SIC22-B12,SIC22-B12-P1,P1,,,,,,,,,,,
SIC22-B12,SIC22-B12-P2,P2,,,,,,,,,,,
SIC22-B12,SIC22-B12-P3,P3,,,,,,,,,,,
SIC22-B12,SIC22-B12-P4,P4,,,,,,,,,,,
